Metsäntutkimuslaitos
Mikael-koulu
Mikkelin maakunta-arkisto
Mittatekniikan keskus
Museovirasto
Niuvanniemen sairaala
Näkövammaisten kirjasto
Oikeushallinnon tietotekniikkakeskus
Oikeuskanslerinvirasto
Oikeusministeriö
Oikeuspoliittinen tutkimuslaitos
Oikeusrekisterikeskus
Onerva Mäen koulu
Onnettomuustutkintakeskus
Opetus- ja kulttuuriministeriö
Opetushallitus
Opintotuen muutoksenhakulautakunta
Oppimis- ja ohjauskeskus Mäntykangas, Mäntykankaan koulu
Oulun hallinto-oikeus
Oulun käräjäoikeus
Oulun maakunta-arkisto
Oulun oikeusaputoimisto
Oulun poliisilaitos
Oulun seudun ulosottovirasto
Oulun syyttäjänvirasto
Oulun vastaanottokeskus
Patentti- ja rekisterihallitus
Pelastusopisto
Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus
Pirkanmaan käräjäoikeus
Pirkanmaan oikeusaputoimisto
Pirkanmaan työ- ja elinkeinotoimisto
Pirkanmaan ulosottovirasto
Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus
Pohjanmaan käräjäoikeus
Pohjanmaan poliisilaitos
Pohjanmaan syyttäjänvirasto
Pohjanmaan työ- ja elinkeinotoimisto
Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus
Pohjois-Karjalan käräjäoikeus
Pohjois-Karjalan oikeusaputoimisto
Pohjois-Karjalan rajavartiosto
Pohjois-Karjalan työ- ja elinkeinotoimisto
Pohjois-Karjalan ulosottovirasto
Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus
Pohjois-Pohjanmaan työ- ja elinkeinotoimisto
Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus
Pohjois-Savon käräjäoikeus
Pohjois-Savon oikeusaputoimisto
Pohjois-Savon työ- ja elinkeinotoimisto
Pohjois-Savon ulosottovirasto
Pohjois-Suomen aluehallintovirasto
Pohjois-Suomen maistraatti
Poliisiammattikorkeakoulu
Poliisihallitus
Porin oikeusaputoimisto
Puolustushallinnon rakennuslaitos
Puolustusministeriö
Puolustusvoimat
Päijät-Hämeen käräjäoikeus
Päijät-Hämeen oikeusaputoimisto
Päijät-Hämeen ulosottovirasto
Raahen seudun ulosottovirasto
Raja- ja merivartiokoulu
Rajavartiolaitoksen esikunta
Rauman oikeusaputoimisto
Riista- ja kalatalouden tutkimuslaitos
Rikosseuraamusalan koulutuskeskus
Rikosseuraamuslaitoksen keskushallintoyksikkö
Rikosseuraamuslaitoksen terveydenhuoltoyksikkö
Rikosseuraamuslaitoksen täytäntöönpanoyksikkö
Rovaniemen hallinto-oikeus
Rovaniemen hovioikeus
Rovaniemen oikeusaputoimisto
Ruskeasuon koulu
Saamelaisalueen koulutuskeskus
Salpausselän syyttäjänvirasto
Satakunnan elinkeino-, liikenne- ja ympäristökeskus
Satakunnan käräjäoikeus
Satakunnan työ- ja elinkeinotoimisto
Satakunnan ulosottovirasto
Sisäministeriö
Sisä-Suomen maistraatti
Sisä-Suomen poliisilaitos
Sisä-Suomen syyttäjänvirasto
Sosiaali- ja terveysalan lupa- ja valvontavirasto
Sosiaali- ja terveysministeriö
Sosiaaliturvan muutoksenhakulautakunta
Suojelupoliisi
Suomalais-venäläinen koulu
Suomen Akatemia
Suomen ympäristökeskus
Suomenlahden merivartiosto
Suomenlinnan hoitokunta
Svenska skolan för synskadade
Säteilyturvakeskus
Taiteen edistämiskeskus
Tampereen oikeusaputoimisto
Tasavallan presidentin kanslia
Teknologian tutkimuskeskus VTT
Tervaväylän koulu
Terveyden ja hyvinvoinnin laitos
Tietosuojavaltuutetun toimisto
Tilastokeskus
Tulli
Turun hallinto-oikeus
Turun hovioikeus
Turun maakunta-arkisto
Turun oikeusaputoimisto
Turvallisuus- ja kemikaalivirasto
Tuusulan käräjäoikeus
Työ- ja elinkeinoministeriö
Työttömyysturvan muutoksenhakulautakunta
Työtuomioistuin
Ulkoasiainministeriö
Ulkoasiainministeriön edustustot
Ulkopoliittinen instituutti
Uudenmaan elinkeino-, liikenne- ja ympäristökeskus
Uudenmaan työ- ja elinkeinotoimisto
Vaasan hallinto-oikeus
Vaasan hovioikeus
Vaasan maakunta-arkisto
Vakuutusoikeus
Valtakunnansyyttäjänvirasto
Valtakunnanvoudinvirasto
Valtiokonttori
Valtion koulukodit
Valtion taloudellinen tutkimuskeskus
Valtion talous- ja henkilöstöhallinnon palvelukeskus
Valtion tieto- ja viestintätekniikkakeskus Valtori
Valtioneuvoston kanslia
Valtiontalouden tarkastusvirasto
Valtiovarainministeriö
Vanhan vaasan sairaala
Vantaan käräjäoikeus
Varastokirjasto
Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus
Varsinais-Suomen käräjäoikeus
Varsinais-Suomen oikeusaputoimisto
Varsinais-Suomen työ- ja elinkeinotoimisto
Varsinais-Suomen ulosottovirasto
Vartiolentolaivue
Verohallinto
Viestintävirasto
Väestörekisterikeskus
Ylioppilastutkintolautakunta
Ylivieskan oikeusaputoimisto
Ylivieska-Raahen käräjäoikeus
Ympäristöministeriö
